distance along-strike (km)          W along-strike (km)
  -2.1793333e+02                       1.6837977e+02
  -1.9893333e+02                       1.6512655e+02
  -1.7866667e+02                       1.6391092e+02
  -1.5896667e+02                       1.5984261e+02
  -1.3896667e+02                       1.5632441e+02
  -1.1880000e+02                       1.4919077e+02
  -9.8350000e+01                       1.4443213e+02
  -7.8300000e+01                       1.3725913e+02
  -5.8836667e+01                       1.3347867e+02
  -3.8726667e+01                       1.3018546e+02
  -1.8980000e+01                       1.2741139e+02
   2.0990000e+00                       1.2102831e+02
   2.2143333e+01                       1.1237014e+02
   4.1110000e+01                       9.9478904e+01
   6.2016667e+01                       8.9348471e+01
   8.2080000e+01                       7.9364013e+01
   1.0226667e+02                       7.1622343e+01
   1.2203333e+02                       6.6525076e+01
   1.4193333e+02                       6.4245493e+01
   1.6186667e+02                       6.1658637e+01
   1.8113333e+02                       6.2148579e+01
